year,month,State,type_of_connection,value,date,Service_provider
2016,6,Kerala,wireless,8417351.0,01-06-2016,TELENOR
2010,12,North East 1,wireless,2809755.0,01-12-2010,MTNL
2014,7,Gujarat,wireline,77885.0,01-07-2014,TATA TELE
2022,11,Tamil Nadu,wireless,9538723.0,01-11-2022,BSNL
2021,2,ALL INDIA,wireline,3148368.0,01-02-2021,JIO
2024,11,Tamil Nadu,wireless,15040723.0,01-11-2024,VODAFONE IDEA
2022,4,Delhi,wireline,138386.0,01-04-2022,TATA TELE
2013,7,Tamil Nadu,wireless,0.0,01-07-2013,VIDEOCON
2014,9,Kolkata,wireline,80711.0,01-09-2014,RELIANCE COMMUNICATIONS
2019,11,Andhra Pradesh,wireline,33703.0,01-11-2019,RELIANCE COMMUNICATIONS
2014,2,Gujarat,wireless,9201396.0,01-02-2014,VODAFONE IDEA
2010,8,West Bengal,wireline,850793.0,01-08-2010,BSNL
2020,12,Uttar Pradesh (East),wireline,20020.0,01-12-2020,VODAFONE IDEA
2023,2,Haryana,wireline,102658.0,01-02-2023,AIRTEL
2022,4,Himachal Pradesh,wireless,3314762.0,01-04-2022,AIRTEL
2016,8,Jammu And Kashmir,wireless,3306275.0,01-08-2016,AIRTEL
2012,8,Delhi,wireline,1080247.0,01-08-2012,AIRTEL
2019,1,Maharashtra,wireless,115325303.0,01-01-2019,BSNL
2012,7,Haryana,wireline,5080.0,01-07-2012,RELIANCE COMMUNICATIONS
2023,7,Bihar,wireless,40707005.0,01-07-2023,AIRTEL
2013,6,Bihar,wireless,0.0,01-06-2013,MTNL
2015,2,Himachal Pradesh,wireline,90.0,01-02-2015,VODAFONE IDEA
2010,3,Delhi,wireless,100858358.0,01-03-2010,LOOP TELECOM
2015,5,Andhra Pradesh,wireless,5440162.0,01-05-2015,TELENOR
2012,3,Himachal Pradesh,wireless,454924.0,01-03-2012,OTHERS
2020,1,Delhi,wireline,0.0,01-01-2020,BSNL
2020,2,Himachal Pradesh,wireless,885017.0,01-02-2020,VODAFONE IDEA
2019,6,Madhya Pradesh,wireline,643404.0,01-06-2019,BSNL
2024,12,Himachal Pradesh,wireless,3232447.0,01-12-2024,JIO
2020,3,North East 1,wireless,3645578.0,01-03-2020,JIO
2013,4,Maharashtra,wireline,2020317.0,01-04-2013,BSNL
2013,12,Jammu And Kashmir,wireless,9807039.0,01-12-2013,LOOP TELECOM
2014,10,Himachal Pradesh,wireless,1463078.0,01-10-2014,RELIANCE COMMUNICATIONS
2022,6,Delhi,wireline,689195.0,01-06-2022,JIO
2012,12,Kerala,wireless,2885016.0,01-12-2012,RELIANCE COMMUNICATIONS
2022,12,Haryana,wireline,31111.0,01-12-2022,TATA TELE
2017,10,Kerala,wireline,32396.0,01-10-2017,RELIANCE COMMUNICATIONS
2019,12,Kolkata,wireless,1856520.0,01-12-2019,BSNL
2011,7,Odisha,wireline,4124.0,01-07-2011,RELIANCE COMMUNICATIONS
2017,3,ALL INDIA,wireline,3865764.0,01-03-2017,AIRTEL
2014,3,Himachal Pradesh,wireline,246352.0,01-03-2014,BSNL
2015,6,ALL INDIA,wireline,3444147.0,01-06-2015,AIRTEL
2011,9,Maharashtra,wireless,1140080.0,01-09-2011,AIRCEL
2023,11,Kolkata,wireless,1687182.0,01-11-2023,MTNL
2024,2,Bihar,wireless,90423146.0,01-02-2024,BSNL
2016,11,Tamil Nadu,wireless,576605.0,01-11-2016,SISTEMA / MTS
2015,1,Himachal Pradesh,wireless,678936.0,01-01-2015,VODAFONE IDEA
2013,2,Gujarat,wireless,220479.0,01-02-2013,SISTEMA / MTS
2017,11,Haryana,wireline,22547.0,01-11-2017,AIRTEL
2018,2,Mumbai,wireless,8218536.0,01-02-2018,JIO
2016,1,Himachal Pradesh,wireline,4192.0,01-01-2016,RELIANCE COMMUNICATIONS
2014,4,Tamil Nadu,wireless,5516477.0,01-04-2014,TATA TELE
2017,8,Bihar,wireless,9549148.0,01-08-2017,VODAFONE IDEA
2014,3,Bihar,wireline,363665.0,01-03-2014,BSNL
2016,3,Punjab,wireless,3529215.0,01-03-2016,VIDEOCON
2020,4,Kerala,wireless,10944266.0,01-04-2020,BSNL
2017,3,Kerala,wireless,8473311.0,01-03-2017,TELENOR
2024,1,Uttar Pradesh (East),wireless,39329936.0,01-01-2024,JIO
2018,4,Mumbai,wireless,1273517.0,01-04-2018,MTNL
2011,9,Himachal Pradesh,wireline,4659.0,01-09-2011,RELIANCE COMMUNICATIONS
2014,12,Kolkata,wireless,2325730.0,01-12-2014,MTNL
2010,10,North East 1,wireless,2791521.0,01-10-2010,MTNL
2011,11,Bihar,wireless,20076.0,01-11-2011,VIDEOCON
2014,2,Karnataka,wireless,2453375.0,01-02-2014,MTNL
2023,4,Maharashtra,wireline,0.0,01-04-2023,MTNL
2014,2,Haryana,wireless,4666892.0,01-02-2014,HFCL / QUADRANT
2024,9,Kolkata,wireless,1684335.0,01-09-2024,MTNL
2020,6,Haryana,wireline,38349.0,01-06-2020,TATA TELE
2009,4,Gujarat,wireline,108183.0,01-04-2009,RELIANCE COMMUNICATIONS
2024,10,Kerala,wireline,0.0,01-10-2024,MTNL
2012,10,Haryana,wireless,2789193.0,01-10-2012,TATA TELE
2014,9,Karnataka,wireless,1721646.0,01-09-2014,SISTEMA / MTS
2011,12,Kerala,wireline,3082352.0,01-12-2011,BSNL
2011,11,West Bengal,wireless,3292937.0,01-11-2011,TELENOR
2024,4,Rajasthan,wireless,0.0,01-04-2024,RELIANCE COMMUNICATIONS
2017,4,Assam,wireline,151068.0,01-04-2017,BSNL
2010,9,Punjab,wireless,20.0,01-09-2010,VIDEOCON
2015,12,ALL INDIA,wireless,50702396.0,01-12-2015,TELENOR
2023,4,West Bengal,wireline,28459.0,01-04-2023,AIRTEL
2019,2,ALL INDIA,wireline,743100.0,01-02-2019,RELIANCE COMMUNICATIONS
2016,3,North East 1,wireless,3133041.0,01-03-2016,AIRCEL
2010,7,Himachal Pradesh,wireless,0.0,01-07-2010,VIDEOCON
2018,2,Punjab,wireless,5156825.0,01-02-2018,TELENOR
2018,3,Rajasthan,wireless,5288258.0,01-03-2018,AIRCEL
2009,6,Gujarat,wireless,2112006.0,01-06-2009,MTNL
2013,3,Maharashtra,wireless,1189688.0,01-03-2013,AIRCEL
2009,10,Delhi,wireless,5128716.0,01-10-2009,TATA TELE
2018,3,Assam,wireless,111679483.0,01-03-2018,MTNL
2025,4,Himachal Pradesh,wireless,1686251.0,01-04-2025,BSNL
2014,9,Delhi,wireline,114873.0,01-09-2014,TATA TELE
2016,11,Kerala,wireless,1767244.0,01-11-2016,JIO
2020,8,Odisha,wireless,13402045.0,01-08-2020,JIO
2019,7,Gujarat,wireless,584.0,01-07-2019,RELIANCE COMMUNICATIONS
2012,2,Punjab,wireless,889984.0,01-02-2012,AIRCEL
2011,1,ALL INDIA,wireless,128871507.0,01-01-2011,RELIANCE COMMUNICATIONS
2012,12,Jammu And Kashmir,wireless,1153690.0,01-12-2012,BSNL
2014,1,Maharashtra,wireline,98156.0,01-01-2014,RELIANCE COMMUNICATIONS
2012,1,Uttar Pradesh (East),wireline,1269513.0,01-01-2012,BSNL
2024,8,Kerala,wireline,112110.0,01-08-2024,AIRTEL
2016,11,Kerala,wireless,2327248.0,01-11-2016,MTNL
2014,12,Uttar Pradesh (East),wireless,6007873.0,01-12-2014,AIRCEL
2024,6,Himachal Pradesh,wireline,0.0,01-06-2024,MTNL
2020,3,Karnataka,wireless,7318035.0,01-03-2020,BSNL
2020,9,Jammu And Kashmir,wireless,4374426.0,01-09-2020,JIO
2024,5,Assam,wireless,2977451.0,01-05-2024,BSNL
2013,4,Himachal Pradesh,wireless,510330.0,01-04-2013,VODAFONE IDEA
2010,10,Himachal Pradesh,wireless,2550518.0,01-10-2010,MTNL
2009,11,Assam,wireless,1089829.0,01-11-2009,BSNL
2011,5,Jammu And Kashmir,wireless,0.0,01-05-2011,LOOP TELECOM
2013,12,Uttar Pradesh (East),wireless,15961838.0,01-12-2013,AIRTEL
2012,10,Punjab,wireless,0.0,01-10-2012,LOOP TELECOM
2020,1,West Bengal,wireless,1186107.0,01-01-2020,MTNL
2019,3,Madhya Pradesh,wireless,14820329.0,01-03-2019,AIRTEL
2022,5,Tamil Nadu,wireless,9758250.0,01-05-2022,BSNL
2018,6,ALL INDIA,wireless,222732980.0,01-06-2018,VODAFONE IDEA
2024,2,Andhra Pradesh,wireless,384013873.0,01-02-2024,RELIANCE COMMUNICATIONS
2022,12,Delhi,wireline,89445.0,01-12-2022,VODAFONE IDEA
2024,10,Kolkata,wireline,0.0,01-10-2024,OTHERS
2022,8,Jammu And Kashmir,wireless,1691991.0,01-08-2022,MTNL
2016,2,Uttar Pradesh (West),wireless,157017.0,01-02-2016,SISTEMA / MTS
2011,2,Assam,wireless,9244.0,01-02-2011,VIDEOCON
2009,4,Madhya Pradesh,wireless,4171587.0,01-04-2009,LOOP TELECOM
2015,9,Kolkata,wireless,7082298.0,01-09-2015,TELENOR
2019,9,Mumbai,wireless,13313741.0,01-09-2019,JIO
2013,10,Kolkata,wireline,865363.0,01-10-2013,BSNL
2009,4,Delhi,wireline,1528684.0,01-04-2009,MTNL
2013,7,Mumbai,wireless,6668176.0,01-07-2013,VODAFONE IDEA
2017,1,West Bengal,wireless,19546610.0,01-01-2017,VODAFONE IDEA
2017,7,Madhya Pradesh,wireless,7553864.0,01-07-2017,JIO
2012,6,Uttar Pradesh (West),wireline,0.0,01-06-2012,MTNL
2009,5,Jammu And Kashmir,wireless,4235023.0,01-05-2009,LOOP TELECOM
2021,7,Mumbai,wireline,441258.0,01-07-2021,JIO
2010,1,Karnataka,wireline,100094.0,01-01-2010,RELIANCE COMMUNICATIONS
2012,1,Tamil Nadu,wireless,2018098.0,01-01-2012,VODAFONE IDEA
2013,4,Kolkata,wireless,2297496.0,01-04-2013,BSNL
2020,8,North East 1,wireline,1361613.0,01-08-2020,BSNL
2014,5,Haryana,wireline,442904.0,01-05-2014,BSNL
2024,9,Maharashtra,wireline,536297.0,01-09-2024,AIRTEL
2011,7,Maharashtra,wireline,212036.0,01-07-2011,TATA TELE
2021,2,Maharashtra,wireline,152521.0,01-02-2021,AIRTEL
2024,6,Tamil Nadu,wireless,29845231.0,01-06-2024,AIRTEL
2020,10,Kerala,wireline,42814.0,01-10-2020,JIO
2019,6,Gujarat,wireless,10821334.0,01-06-2019,AIRTEL
2010,4,North East 1,wireline,324449.0,01-04-2010,BSNL
2014,6,Uttar Pradesh (East),wireline,643829.0,01-06-2014,BSNL
2019,9,Madhya Pradesh,wireless,6376813.0,01-09-2019,BSNL
2010,5,Gujarat,wireless,5760204.0,01-05-2010,AIRTEL
2024,8,Delhi,wireless,91045852.0,01-08-2024,BSNL
2012,7,Odisha,wireless,0.0,01-07-2012,MTNL
2022,5,Kolkata,wireline,6209.0,01-05-2022,RELIANCE COMMUNICATIONS
2013,8,Mumbai,wireline,232950.0,01-08-2013,RELIANCE COMMUNICATIONS
2016,9,Maharashtra,wireless,6718108.0,01-09-2016,HFCL / QUADRANT
2012,3,Madhya Pradesh,wireless,4840432.0,01-03-2012,TATA TELE
2021,10,ALL INDIA,wireless,5404.0,01-10-2021,RELIANCE COMMUNICATIONS
2014,12,Uttar Pradesh (West),wireless,1124939.0,01-12-2014,MTNL
2022,11,Odisha,wireline,173283.0,01-11-2022,BSNL
2021,5,Uttar Pradesh (West),wireline,6760.0,01-05-2021,VODAFONE IDEA
2024,4,Karnataka,wireless,6445140.0,01-04-2024,VODAFONE IDEA
2020,4,Kerala,wireline,1430506.0,01-04-2020,BSNL
2015,1,Haryana,wireless,6625515.0,01-01-2015,HFCL / QUADRANT
2020,3,Odisha,wireless,11428399.0,01-03-2020,AIRTEL
2023,6,Himachal Pradesh,wireless,1610092.0,01-06-2023,BSNL
2014,4,Punjab,wireline,360.0,01-04-2014,VODAFONE IDEA
2023,6,Tamil Nadu,wireless,28043824.0,01-06-2023,AIRTEL
2010,6,North East 1,wireline,99.0,01-06-2010,TATA TELE
2020,2,Bihar,wireless,35124320.0,01-02-2020,AIRTEL
2013,11,Karnataka,wireless,16823114.0,01-11-2013,AIRTEL
2009,9,Bihar,wireless,9328172.0,01-09-2009,AIRTEL
2019,1,Andhra Pradesh,wireless,115325303.0,01-01-2019,BSNL
2013,7,Karnataka,wireless,2010834.0,01-07-2013,AIRCEL
2012,5,ALL INDIA,wireline,19290.0,01-05-2012,VODAFONE IDEA
2024,3,Bihar,wireline,0.0,01-03-2024,MTNL
2009,12,Assam,wireless,1595535.0,01-12-2009,RELIANCE COMMUNICATIONS
2013,7,Kolkata,wireless,1971990.0,01-07-2013,AIRCEL
2010,2,Rajasthan,wireless,10231123.0,01-02-2010,AIRTEL
2011,9,Karnataka,wireless,12016.0,01-09-2011,VIDEOCON
2024,5,Assam,wireline,35046.0,01-05-2024,AIRTEL
2009,11,Kerala,wireline,3405043.0,01-11-2009,BSNL
2021,10,Kolkata,wireless,2154926.0,01-10-2021,MTNL
2022,5,Jammu And Kashmir,wireline,0.0,01-05-2022,TATA TELE
2017,2,Gujarat,wireless,2551441.0,01-02-2017,TATA TELE
2020,9,North East 1,wireless,1367606.0,01-09-2020,BSNL
2014,6,Karnataka,wireless,6160544.0,01-06-2014,TELENOR
2016,7,West Bengal,wireless,4958238.0,01-07-2016,AIRCEL
2009,5,Maharashtra,wireless,6036123.0,01-05-2009,AIRTEL
2012,11,Karnataka,wireless,7072101.0,01-11-2012,BSNL
2014,1,Punjab,wireless,707942.0,01-01-2014,SISTEMA / MTS
2021,10,Kerala,wireline,8830.0,01-10-2021,VODAFONE IDEA
2013,5,Odisha,wireless,0.0,01-05-2013,MTNL
2019,5,Assam,wireline,108515.0,01-05-2019,BSNL
2012,11,Tamil Nadu,wireline,485655.0,01-11-2012,AIRTEL
2012,2,Haryana,wireless,923538.0,01-02-2012,VIDEOCON
2020,7,ALL INDIA,wireline,319932020.0,01-07-2020,AIRTEL
2024,3,Madhya Pradesh,wireless,16164992.0,01-03-2024,AIRTEL
2017,12,Maharashtra,wireless,28506515.0,01-12-2017,VODAFONE IDEA
2013,11,Rajasthan,wireline,23833.0,01-11-2013,RELIANCE COMMUNICATIONS
2012,10,Kolkata,wireless,0.0,01-10-2012,LOOP TELECOM
2024,1,West Bengal,wireline,0.0,01-01-2024,MTNL
2023,4,Haryana,wireline,210935.0,01-04-2023,BSNL
2021,11,Uttar Pradesh (East),wireline,117606.0,01-11-2021,AIRTEL
2014,8,Kolkata,wireless,677766.0,01-08-2014,SISTEMA / MTS
2021,4,Gujarat,wireless,193.0,01-04-2021,RELIANCE COMMUNICATIONS
2012,7,Uttar Pradesh (East),wireless,0.0,01-07-2012,OTHERS
2013,6,Uttar Pradesh (West),wireline,24378.0,01-06-2013,AIRTEL
2022,3,Haryana,wireless,5921655.0,01-03-2022,AIRTEL
2010,8,Kerala,wireless,380993.0,01-08-2010,OTHERS
2012,10,ALL INDIA,wireline,3276003.0,01-10-2012,AIRTEL
2024,2,ALL INDIA,wireline,2191042.0,01-02-2024,MTNL
2015,4,Delhi,wireless,2338037.0,01-04-2015,MTNL
2010,7,Kerala,wireline,53461.0,01-07-2010,RELIANCE COMMUNICATIONS
2023,11,Jammu And Kashmir,wireless,1687182.0,01-11-2023,MTNL
2022,11,ALL INDIA,wireless,2762005.0,01-11-2022,MTNL
2010,8,Gujarat,wireline,51020.0,01-08-2010,AIRTEL
2018,6,Odisha,wireless,6065010.0,01-06-2018,JIO
2021,12,Bihar,wireless,10577260.0,01-12-2021,VODAFONE IDEA
2012,8,Madhya Pradesh,wireless,0.0,01-08-2012,OTHERS
2010,5,Madhya Pradesh,wireless,3852665.0,01-05-2010,TATA TELE
2019,1,Jammu And Kashmir,wireless,1309305.0,01-01-2019,VODAFONE IDEA
2022,3,Karnataka,wireline,246903.0,01-03-2022,TATA TELE
2009,11,Assam,wireline,118.0,01-11-2009,TATA TELE
2012,4,ALL INDIA,wireless,81229732.0,01-04-2012,TATA TELE
2020,1,Assam,wireline,96405.0,01-01-2020,BSNL
2014,9,Assam,wireless,41815586.0,01-09-2014,SISTEMA / MTS
2013,12,Andhra Pradesh,wireless,2979460.0,01-12-2013,VIDEOCON
2017,11,Himachal Pradesh,wireless,2422013.0,01-11-2017,BSNL
2012,8,Bihar,wireless,0.0,01-08-2012,OTHERS
2009,1,Uttarakhand,wireline,300884.0,01-01-2009,BSNL
2009,3,Rajasthan,wireless,3240641.0,01-03-2009,BSNL
2010,5,Himachal Pradesh,wireless,0.0,01-05-2010,VIDEOCON
2013,9,Bihar,wireless,6747640.0,01-09-2013,VODAFONE IDEA
2015,7,Delhi,wireless,7723581.0,01-07-2015,HFCL / QUADRANT
2012,3,ALL INDIA,wireless,5832398.0,01-03-2012,MTNL
2009,7,Bihar,wireless,6172552.0,01-07-2009,RELIANCE COMMUNICATIONS
2011,7,ALL INDIA,wireless,3162932.0,01-07-2011,LOOP TELECOM
2017,1,Rajasthan,wireless,1510071.0,01-01-2017,SISTEMA / MTS
2016,3,Kolkata,wireline,668964.0,01-03-2016,BSNL
2018,3,West Bengal,wireline,272150.0,01-03-2018,BSNL
2017,8,Maharashtra,wireless,9435454.0,01-08-2017,JIO
2024,5,Tamil Nadu,wireless,0.0,01-05-2024,RELIANCE COMMUNICATIONS
2015,11,Rajasthan,wireless,3502395.0,01-11-2015,BSNL
2012,6,ALL INDIA,wireless,0.0,01-06-2012,ETISALAT
2012,12,Uttar Pradesh (West),wireline,30.0,01-12-2012,VODAFONE IDEA
2016,3,Andhra Pradesh,wireless,23592784.0,01-03-2016,AIRTEL
2025,3,North East 1,wireline,61773.0,01-03-2025,BSNL
2011,4,Karnataka,wireline,488179.0,01-04-2011,AIRTEL
2018,8,Odisha,wireline,243542.0,01-08-2018,BSNL
2015,1,Karnataka,wireless,2330780.0,01-01-2015,MTNL
2015,9,West Bengal,wireless,1253623.0,01-09-2015,MTNL
2021,5,Kolkata,wireline,151839.0,01-05-2021,JIO
2010,7,Delhi,wireline,997963.0,01-07-2010,AIRTEL
2019,1,Kerala,wireline,19374.0,01-01-2019,TATA TELE
2014,8,Karnataka,wireless,2740310.0,01-08-2014,AIRCEL
2019,7,Maharashtra,wireline,42091.0,01-07-2019,RELIANCE COMMUNICATIONS
2019,9,Karnataka,wireless,14024742.0,01-09-2019,VODAFONE IDEA
2019,11,Tamil Nadu,wireless,1193720.0,01-11-2019,MTNL
2012,11,Kolkata,wireless,0.0,01-11-2012,LOOP TELECOM
2013,8,Kolkata,wireline,110876.0,01-08-2013,AIRTEL
2017,7,Karnataka,wireless,8072922.0,01-07-2017,JIO
2014,3,Odisha,wireless,1064605.0,01-03-2014,MTNL
2025,2,Himachal Pradesh,wireline,14302.0,01-02-2025,AIRTEL
2014,5,Maharashtra,wireless,6853821.0,01-05-2014,RELIANCE COMMUNICATIONS
2024,5,Assam,wireless,167635.0,01-05-2024,MTNL
2012,5,Odisha,wireless,10673.0,01-05-2012,VIDEOCON
2022,3,North East 1,wireless,1099337.0,01-03-2022,VODAFONE IDEA
2012,6,Uttar Pradesh (East),wireless,15400233.0,01-06-2012,VODAFONE IDEA
2017,3,Mumbai,wireless,4375655.0,01-03-2017,VODAFONE IDEA
2013,2,Kerala,wireless,0.0,01-02-2013,VIDEOCON
2025,3,Gujarat,wireline,0.0,01-03-2025,OTHERS
2022,1,Assam,wireless,2634479.0,01-01-2022,VODAFONE IDEA
2024,1,Uttar Pradesh (West),wireless,179740.0,01-01-2024,BSNL
2013,10,Jammu And Kashmir,wireless,277245.0,01-10-2013,VODAFONE IDEA
2016,5,Andhra Pradesh,wireless,0.0,01-05-2016,HFCL / QUADRANT
2009,1,Arunachal Pradesh,wireless,3665593.0,01-01-2009,VODAFONE IDEA
2014,1,Assam,wireless,3706030.0,01-01-2014,AIRCEL
2014,4,Kolkata,wireless,3087676.0,01-04-2014,AIRCEL
2013,11,Odisha,wireless,7331229.0,01-11-2013,AIRTEL
2013,7,Kerala,wireless,0.0,01-07-2013,MTNL
2011,4,Punjab,wireline,1224191.0,01-04-2011,BSNL
2017,9,Mumbai,wireline,1833980.0,01-09-2017,MTNL
2014,7,Punjab,wireless,4716532.0,01-07-2014,VODAFONE IDEA
2019,8,Kerala,wireless,10921734.0,01-08-2019,BSNL
2018,10,Haryana,wireless,4842023.0,01-10-2018,BSNL
2012,1,Punjab,wireline,15540.0,01-01-2012,TATA TELE
2020,11,Andhra Pradesh,wireline,155162.0,01-11-2020,TATA TELE
2018,12,Haryana,wireless,114342653.0,01-12-2018,BSNL
2009,8,Madhya Pradesh,wireless,6981594.0,01-08-2009,RELIANCE COMMUNICATIONS
2016,7,Haryana,wireline,292591.0,01-07-2016,BSNL
2015,1,ALL INDIA,wireline,1624300.0,01-01-2015,TATA TELE
2009,10,Delhi,wireless,4803950.0,01-10-2009,RELIANCE COMMUNICATIONS
2020,12,North East 1,wireless,5312862.0,01-12-2020,AIRTEL
2015,2,Tamil Nadu,wireless,9061097.0,01-02-2015,BSNL
2016,6,Kerala,wireless,334215.0,01-06-2016,SISTEMA / MTS
2025,1,Andhra Pradesh,wireless,9878936.0,01-01-2025,VODAFONE IDEA
2009,6,Chennai,wireless,433548.0,01-06-2009,TATA TELE
2023,7,Maharashtra,wireless,41530229.0,01-07-2023,JIO
2010,2,North East 1,wireless,99413473.0,01-02-2010,HFCL / QUADRANT
2022,8,Haryana,wireline,83239.0,01-08-2022,JIO
2012,7,North East 1,wireless,2498487.0,01-07-2012,AIRCEL
2011,3,Jammu And Kashmir,wireless,1742815.0,01-03-2011,AIRCEL
2016,12,Madhya Pradesh,wireless,13665329.0,01-12-2016,AIRTEL
2009,12,Kerala,wireless,2103036.0,01-12-2009,TATA TELE
2020,10,Assam,wireless,92489.0,01-10-2020,MTNL
2015,11,Assam,wireline,1620.0,01-11-2015,VODAFONE IDEA
2024,3,Delhi,wireline,0.0,01-03-2024,HFCL / QUADRANT
2018,12,West Bengal,wireless,18508444.0,01-12-2018,AIRTEL
2013,6,Himachal Pradesh,wireless,1543631.0,01-06-2013,BSNL
2014,12,Delhi,wireless,2836590.0,01-12-2014,TATA TELE
2019,8,Madhya Pradesh,wireless,27669039.0,01-08-2019,VODAFONE IDEA
2015,10,ALL INDIA,wireless,84608669.0,01-10-2015,AIRCEL
2017,2,Uttar Pradesh (East),wireless,20221740.0,01-02-2017,VODAFONE IDEA
2018,10,Bihar,wireless,24224417.0,01-10-2018,VODAFONE IDEA
2009,5,North East 1,wireless,856365.0,01-05-2009,VODAFONE IDEA
2024,10,Jammu And Kashmir,wireline,0.0,01-10-2024,RELIANCE COMMUNICATIONS
2013,4,Bihar,wireless,0.0,01-04-2013,LOOP TELECOM
2010,5,Mumbai,wireless,184724.0,01-05-2010,SISTEMA / MTS
2024,1,Kerala,wireline,302592.0,01-01-2024,JIO
2025,1,Assam,wireless,1419772.0,01-01-2025,VODAFONE IDEA
2016,4,Bihar,wireline,13182.0,01-04-2016,TATA TELE
2013,2,Mumbai,wireless,3020837.0,01-02-2013,VODAFONE IDEA
2013,9,Kolkata,wireless,0.0,01-09-2013,HFCL / QUADRANT
2017,7,Mumbai,wireless,4319996.0,01-07-2017,VODAFONE IDEA
2014,6,Punjab,wireless,2280966.0,01-06-2014,HFCL / QUADRANT
2013,10,Andhra Pradesh,wireless,0.0,01-10-2013,MTNL
2012,9,Madhya Pradesh,wireless,1289.0,01-09-2012,TELENOR
2025,3,Delhi,wireline,0.0,01-03-2025,HFCL / QUADRANT
2025,1,Bihar,wireline,140479.0,01-01-2025,BSNL
2023,9,Tamil Nadu,wireless,16220684.0,01-09-2023,VODAFONE IDEA
2016,3,Jammu And Kashmir,wireline,131214.0,01-03-2016,BSNL
2010,2,Karnataka,wireless,3713398.0,01-02-2010,BSNL
2018,6,Tamil Nadu,wireline,1496764.0,01-06-2018,BSNL
2010,8,Andhra Pradesh,wireless,0.0,01-08-2010,OTHERS
2015,4,Maharashtra,wireline,82465.0,01-04-2015,RELIANCE COMMUNICATIONS
2017,8,Punjab,wireline,20053.0,01-08-2017,RELIANCE COMMUNICATIONS
2016,4,Kolkata,wireless,533275.0,01-04-2016,SISTEMA / MTS
2011,2,ALL INDIA,wireless,158998869.0,01-02-2011,AIRTEL
2017,1,Kerala,wireless,379763.0,01-01-2017,AIRCEL
2012,10,Kolkata,wireless,2321808.0,01-10-2012,BSNL
2013,2,Uttar Pradesh (West),wireless,6602737.0,01-02-2013,RELIANCE COMMUNICATIONS
2018,4,Bihar,wireline,11229.0,01-04-2018,TATA TELE
2012,10,West Bengal,wireline,0.0,01-10-2012,AIRTEL
2022,6,Karnataka,wireless,111454386.0,01-06-2022,BSNL
2014,3,Rajasthan,wireless,2131379.0,01-03-2014,SISTEMA / MTS
2009,3,North East 1,wireless,17288.0,01-03-2009,TATA TELE
2019,9,Bihar,wireline,159224.0,01-09-2019,BSNL
2015,9,Delhi,wireless,9804376.0,01-09-2015,VODAFONE IDEA
2013,12,Mumbai,wireline,356733.0,01-12-2013,AIRTEL
2024,4,Karnataka,wireline,152220.0,01-04-2024,VODAFONE IDEA
2020,8,Rajasthan,wireline,21016824.0,01-08-2020,AIRTEL
2009,3,Karnataka,wireline,419307.0,01-03-2009,AIRTEL
2014,5,Himachal Pradesh,wireless,5905502.0,01-05-2014,TELENOR
2011,8,Odisha,wireless,4050871.0,01-08-2011,BSNL
2010,4,Karnataka,wireless,5537149.0,01-04-2010,TATA TELE
2013,9,West Bengal,wireless,0.0,01-09-2013,VIDEOCON
2012,2,Odisha,wireless,833665.0,01-02-2012,OTHERS
2024,11,Uttar Pradesh (East),wireline,12688.0,01-11-2024,TATA TELE
2012,8,West Bengal,wireline,0.0,01-08-2012,SISTEMA / MTS
2017,5,ALL INDIA,wireline,1168645.0,01-05-2017,RELIANCE COMMUNICATIONS
2022,6,Uttar Pradesh (West),wireless,5790363.0,01-06-2022,BSNL
2024,9,Assam,wireless,204747.0,01-09-2024,MTNL
2011,4,Uttar Pradesh (West),wireless,4434278.0,01-04-2011,BSNL
2012,10,Mumbai,wireline,543477.0,01-10-2012,TATA TELE
2009,2,Chhattisgarh,wireless,4048503.0,01-02-2009,BPL MOBILE
2016,1,Madhya Pradesh,wireless,2339526.0,01-01-2016,MTNL
2013,3,Karnataka,wireless,0.0,01-03-2013,OTHERS
2015,6,Gujarat,wireless,7610082.0,01-06-2015,HFCL / QUADRANT
2024,5,Assam,wireless,1544938.0,01-05-2024,VODAFONE IDEA
2022,1,Himachal Pradesh,wireline,30.0,01-01-2022,VODAFONE IDEA
2014,3,Karnataka,wireline,119169.0,01-03-2014,RELIANCE COMMUNICATIONS
2014,2,Uttar Pradesh (East),wireline,690.0,01-02-2014,VODAFONE IDEA
2025,3,Assam,wireline,0.0,01-03-2025,OTHERS
2013,4,Delhi,wireline,0.0,01-04-2013,BSNL
2016,7,Uttar Pradesh (West),wireline,450.0,01-07-2016,VODAFONE IDEA
2020,6,Jammu And Kashmir,wireline,0.0,01-06-2020,VODAFONE IDEA
2023,2,Bihar,wireless,39915814.0,01-02-2023,AIRTEL
2022,1,Maharashtra,wireline,10604.0,01-01-2022,RELIANCE COMMUNICATIONS
2022,6,Kolkata,wireline,318002.0,01-06-2022,JIO
2010,8,Madhya Pradesh,wireline,4471.0,01-08-2010,TATA TELE
2015,2,Haryana,wireline,4869.0,01-02-2015,RELIANCE COMMUNICATIONS
2011,8,Rajasthan,wireless,4129323.0,01-08-2011,TATA TELE
2015,1,Tamil Nadu,wireless,4143760.0,01-01-2015,VODAFONE IDEA
2009,6,West Bengal,wireless,4392897.0,01-06-2009,VODAFONE IDEA
2012,2,Rajasthan,wireless,0.0,01-02-2012,OTHERS
